0,0
1,0
2,0
3,0
4,0
5,1
6,1
7,1
8,1
9,0
10,1
11,1
12,1
13,1
14,1
15,1
16,1
17,1
18,1
19,1
20,1
21,0
22,0
23,1
24,1
25,1
26,1
27,1
28,1
29,1
30,1
31,1
32,1
33,0
34,0
35,1
36,1
37,1
38,1
39,0
40,1
41,0
42,0
43,1
44,1
45,0
46,0
47,1
48,1
49,0
50,0
51,0
52,0
53,1
54,1
55,0
56,1
57,0
58,1
59,1
60,0
61,0
62,0
63,0
64,1
65,1
66,0
67,0
68,0
69,0
70,0
71,0
72,0
73,1
74,1
75,0
76,1
77,1
78,1
79,1
80,0
81,1
82,1
83,1
84,1
85,0
86,0
87,0
88,0
89,0
90,0
91,0
92,0
93,0
94,0
95,1
96,1
97,0
98,1
99,1
100,0
101,1
102,1
103,1
104,1
105,0
106,1
107,1
108,1
109,1
110,0
111,0
112,1
113,0
114,1
115,1
116,0
117,0
118,0
119,0
120,0
121,0
122,1
123,0
124,1
125,1
126,1
127,1
128,1
129,1
130,0
131,0
132,0
133,0
134,0
135,0
136,0
